epoch,T,L,Lr,Lc,acc,pur,nmi,ari
0,,0.7101128697395325,0.6915528774261475,0.018559973686933517,0.40031255635030355,0.4664302458375909,0.16332514796034814,0.18502071361024722
1,,0.7372821569442749,0.6923688650131226,0.044913262128829956,0.41095149365871253,0.4709382701208151,0.16634621633842278,0.20596672903199773
2,,0.7803435325622559,0.6971749067306519,0.08316881954669952,0.4124541684197872,0.4689547394361964,0.16345306607193671,0.20991564071057947
3,,0.8271568417549133,0.7087679505348206,0.11838903278112411,0.41179299152491433,0.4673318506942357,0.16333197268021335,0.21094316330012566
4,,0.8821506500244141,0.730863630771637,0.15128734707832336,0.4104706377351686,0.46462703612430123,0.1612492449376028,0.20543693784799794
5,,0.9321076273918152,0.7545674443244934,0.17754074931144714,0.40866742802187894,0.46336478932499847,0.16011912488944194,0.2028993775398084
6,,0.9760380387306213,0.7773329019546509,0.19870509207248688,0.40620304141371644,0.46294404039189757,0.1607007634110619,0.19860922425366842
7,,1.013262152671814,0.8021939396858215,0.21106818318367004,0.40391897577688285,0.4612009376690509,0.15965478971110467,0.19283747638394846
8,,1.0446780920028687,0.8252725005149841,0.21940496563911438,0.3962853879906233,0.4559716295005109,0.15691132346684977,0.18208738200828534
9,,1.0604979991912842,0.843838095664978,0.21665962040424347,0.3941215363346757,0.45380777784456333,0.15766219992052546,0.17998002174313435
